id,latitude,longitude
33080,-23.6412645,-46.7608074
11244,-20.3864351,-40.3173219
44073,-21.1450701,-47.7187883
44181,-21.1096767,-47.800105
44509,-22.9314125,-47.0692082
44074,-3.7323783,-38.5054903
7142,-20.3281242,-40.3898859
43488,-20.3033949,-40.3692145
16838,-22.8602448,-43.5412984
6013,-20.2858171,-40.3885444
41771,-23.6915246,-46.6413259
42512,-23.5659652,-46.6700771
34177,-22.9993608,-43.3446759
3606,-20.3367033,-40.2917
43578,-23.5845039,-46.6748317
23682,-8.013405,-34.8530433
32478,-20.3529282,-40.2977686
36149,-20.3514,-40.3436201
23786,-20.3340922,-40.3281809
34226,-20.2581221,-40.2902643
4379,-20.2962618,-40.2930626
10721,-20.2863842,-40.3034454
16043,-20.3017847,-40.2919357
41772,-23.6049174,-46.691646
27934,-5.8440233,-35.2103783
30394,-20.12742,-40.1808667
43737,-20.8356183,-41.1178167
35127,-29.9833215,-51.0798099
34785,-22.888414,-47.0764809
15601,-20.2831289,-40.2944915
33338,-20.2695157,-40.4181604
37324,-23.0032667,-43.3258467
4512,-20.3112833,-40.3179867
30448,-22.9877642,-43.3077201
31524,-20.2220431,-40.2681393
42678,-1.34711,-48.4726117
34731,-12.3591345,-38.8668008
43433,-20.1281834,-40.3210105
22880,-23.003707246245202,-43.325026830719885
43022,-8.0395606,-34.9098591
42751,-20.185369,-40.2622324
15343,-20.3449892,-40.3135705
43031,-23.2350012,-45.9173061
36140,-22.8613983,-47.0370083
19571,-19.942795,-43.9218617
35791,-20.2725955,-40.2917417
44367,-20.178967,-40.21051
9693,-20.2455073,-40.2745715
36255,-20.29832,-40.2933067
32647,-22.7870545,-43.3130655
35848,-3.7208979,-38.5414808
41196,-21.1799118,-47.7633972
23839,-20.3577246,-40.294197
41018,-23.5662583,-46.4252517
32305,-22.93464,-47.1123867
41778,-3.7556098,-38.4886286
42756,-23.4833301,-46.641961
5188,-20.1787615,-40.2652183
41779,-23.6184744,-46.6271844
33703,-22.9978167,-43.3582649
41817,-20.1505661,-40.2592952
37794,-3.7860796,-38.5102022
35560,-20.235915,-40.3656867
41781,-22.6933346,-47.6688845
43538,-23.6678743,-46.6110104
33794,-19.8612819,-43.8924887
33737,-19.9146551,-43.9387449
40938,-23.6288526,-46.586194
42438,-23.6611694,-46.7539319
41712,-22.8916866,-47.027207
32953,-20.267093,-40.2947648
43635,-23.4920654,-46.7945045
19016,-20.3441591,-40.3322587
42191,-22.7626467,-43.3235416
28385,-21.2063569,-47.8401846
42782,-20.329137,-40.4441489
34174,-22.9624003,-43.1681871
41759,-23.6268609,-46.518705
35333,-23.7494369,-46.7033749
24754,-19.9384838,-43.9444107
10546,-20.1962734,-40.2511367
